Energy1,Fat,Saturated Fat,MUFA,PUFA,Omega,Carbohydrates,Sugar,category,Name,x,y,Trustworthiness,Continuity,MRRE_False,MRRE_Missing,Neighborhood_Hit,accuracy
351.0,4.27,0.81,0.0,0.0,0.0,71.6,42.2,Fruit,EC Dried Goldenberries Natural,50.404316,-83.13718,0.9071428571428571,0.9285714285714286,0.9365825925160223,0.9575580594032114,1.0,0.9324637344083798
345.0,0.506,0.142,0.213,0.128,0.0,82.5,68.3,Fruit,Mango Dried Diced,165.62044,-14.718508,0.94,0.9542857142857143,0.9149007649369444,0.9636568809868375,1.0,0.943210840052374
137.4,0.4,0.0035,0.0,0.0019,0.0,34.7,9.9,Fruit,"Acerola Juice Concentrate 50° Brix, Frozen, Clear",-70.49179,-87.509415,0.9742857142857143,0.9614285714285714,0.970875542691751,0.9169681620839363,1.0,0.9558894976224932
628.0,60.8,4.5,45.7,7.9,0.0,16.7,4.3,Nut,Hazelnuts Natural <11mm Kernels Non Pasteurized,27.204058,195.12509,0.8885714285714286,0.9171428571428571,0.8768692715870718,0.8586331059196471,0.8571428571428571,0.8853041658052511
356.0,6.5,1.5,0.0,0.0,0.0,57.0,40.0,Fruit,"Thailand Dried Dragon Fruit No Sugar 8-10mm Diced w/ Rice Flour, max.10 ppm w/o SO2",36.14091,-41.776833,0.9757142857142858,0.9757142857142858,0.9230066845841086,0.9525876920956515,1.0,0.9567557370270829
366.0,8.5,1.0,5.9,1.6,0.3,9.0,8.8,Nut,Blanched Almond Powder 10kg,-106.86174,-16.633038,0.8942857142857142,0.7885714285714286,0.8885414513127972,0.7438322651781407,0.42857142857142855,0.8288077148370202
575.0,49.42,3.73,30.89,12.07,0.0,21.67,3.89,Nut,"Californian Almonds Nonpareil Extra No. 1 23/25, 22,68 CTN, Pasteurized",-32.943226,151.87047,0.9942857142857143,0.9985714285714286,0.9797653504238164,0.9888102129419062,1.0,0.9903581765557165
601.0,54.17,4.1,34.49,12.97,0.0,19.27,5.77,Nut,Californian Almonds Roasted Sriracha,19.889566,160.21622,0.9342857142857143,0.9528571428571428,0.9198883605540624,0.8817793398111777,0.8571428571428571,0.9222026393770243
547.17,41.57,3.2,25.75,10.33,0.0,35.39,19.71,Nut,Californian Almonds Roasted Cinnamon Sugar,-7.6460347,195.53703,0.9571428571428572,0.9471428571428572,0.9122648335745297,0.9352990834539315,1.0,0.9379624078285439
661.1,44.19,0.0,0.0,0.0,0.0,30.95,0.0,Nut,Organic Cashew White Wholes 240,-86.461494,44.91263,0.9842857142857143,0.9928571428571429,0.9852353387085659,0.9899472813727517,0.8571428571428571,0.9880813693060437
661.1,44.19,0.0,0.0,0.0,0.0,30.95,0.0,Nut,Organic Cashew White Wholes 320,-86.461494,44.91263,0.9842857142857143,0.9928571428571429,0.9852353387085659,0.9899472813727517,0.8571428571428571,0.9880813693060437
360.0,7.0,1.3,1.97,2.2,0.0,57.0,0.7,Botanical,Haferflocken zart,-48.988964,-15.39608,0.8485714285714285,0.9528571428571428,0.8974054165805251,0.9597202122527737,0.14285714285714285,0.9146385500654675
350.0,0.1,0.1,0.0,0.0,0.0,86.0,0.1,Seeds,"Stärke, Maisstärke nativ",-15.059613,6.208815,0.8042857142857143,0.8528571428571429,0.7410154365653642,0.9046413065949969,0.14285714285714285,0.8256999000758045
819.0,91.0,14.0,71.3,9.76,10.0,0.0,0.0,Fruit,Olivenöl,-10.836439,268.02148,0.9328571428571428,0.9871428571428571,0.9336796223554544,0.9762335469643718,0.14285714285714285,0.9574782923299565
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Botanical,"Rosmarin getrocknet, gerebelt",-180.58804,-126.892715,1.0,1.0085714285714287,0.9789039349459031,0.9761043346426849,0.2857142857142857,0.9908949245400043
322.0,0.5,0.1,0.035,0.016,0.02,74.0,59.0,Fruit,"Datteln, getrocknet Dates, dried",94.85643,-25.90775,0.92,0.9485714285714286,0.8554630969609262,0.8795827303424988,1.0,0.9009043139687134
0.0,0.0,0.0,0.039,0.107,0.0,0.0,0.0,Botanical,"Kidney Bohnen, rot, gekocht Red Kidney Beans, cooked",-195.2839,-88.92252,0.9885714285714285,0.9928571428571429,0.9496761077803046,0.9605299428020123,0.2857142857142857,0.9729086555027221
0.0,0.0,0.0,0.132,0.044,0.0,0.0,0.0,Fruit,Pflaume frisch oder TK Plum fresh/frozen,-175.86182,-56.01666,0.9814285714285714,0.9685714285714285,0.9281062642133554,0.9195179518985597,0.8571428571428571,0.9494060540279787
0.0,0.0,0.0,0.03,0.03,0.0,0.0,0.0,Fruit,South African Apricot Halves in light syrup,-156.84181,-165.94582,0.9842857142857143,0.9842857142857143,0.9419319826338639,0.9534921783474606,0.8571428571428571,0.9659988973881882
